epoch,step,name,value
1,1,loss,3.5935020446777344
1,2,loss,3.4316694736480713
1,3,loss,3.105146646499634
1,4,loss,3.0622708797454834
1,5,loss,2.7268338203430176
1,6,loss,2.5424911975860596
1,7,loss,2.6920676231384277
1,8,loss,2.614194393157959
1,9,loss,2.516659736633301
1,10,loss,2.1053626537323
1,11,loss,2.1013851165771484
1,12,loss,2.7598330974578857
1,13,loss,2.078657627105713
1,14,loss,2.0894112586975098
1,15,loss,1.6380051374435425
1,16,loss,1.4790785312652588
1,17,loss,1.6246788501739502
1,18,loss,2.490307331085205
1,19,loss,1.9247267246246338
1,20,loss,2.0742104053497314
1,21,loss,1.928148865699768
1,22,loss,2.3297653198242188
1,23,loss,1.8264505863189697
1,24,loss,2.3260464668273926
1,25,loss,2.498627185821533
1,26,loss,1.8430999517440796
1,27,loss,2.39005970954895
1,28,loss,1.670348882675171
1,29,loss,2.6538474559783936
1,30,loss,2.4821701049804688
1,31,loss,2.188053607940674
1,32,loss,2.249863862991333
1,33,loss,2.045776128768921
1,34,loss,1.6254273653030396
1,35,loss,1.8480634689331055
1,36,loss,1.6503427028656006
1,37,loss,1.6169476509094238
1,38,loss,2.8052334785461426
1,39,loss,1.6754308938980103
1,40,loss,1.427730917930603
1,41,loss,2.3854384422302246
1,42,loss,1.3335332870483398
1,43,loss,1.9819353818893433
1,44,loss,1.6442456245422363
1,45,loss,1.9379298686981201
1,46,loss,2.312307119369507
1,47,loss,1.4183236360549927
1,48,loss,1.5718482732772827
1,49,loss,1.6720407009124756
1,50,loss,1.7760432958602905
2,1,loss,1.7974995374679565
2,2,loss,1.603880763053894
2,3,loss,1.8180181980133057
2,4,loss,2.4319238662719727
2,5,loss,1.7013347148895264
2,6,loss,1.9986140727996826
2,7,loss,2.082918643951416
2,8,loss,2.3750219345092773
2,9,loss,1.7240025997161865
2,10,loss,1.881589412689209
2,11,loss,1.5924746990203857
2,12,loss,1.9656819105148315
2,13,loss,1.9636003971099854
2,14,loss,1.784769058227539
2,15,loss,1.7234761714935303
2,16,loss,1.3096177577972412
2,17,loss,2.8395016193389893
2,18,loss,1.560631513595581
2,19,loss,1.2358896732330322
2,20,loss,1.465074062347412
2,21,loss,1.8268814086914062
2,22,loss,1.7403976917266846
2,23,loss,2.028789520263672
2,24,loss,1.467176914215088
2,25,loss,1.8803006410598755
2,26,loss,1.3482428789138794
2,27,loss,2.0913848876953125
2,28,loss,1.7650913000106812
2,29,loss,1.3459092378616333
2,30,loss,0.963775634765625
2,31,loss,1.5683224201202393
2,32,loss,1.0362727642059326
2,33,loss,1.5160870552062988
2,34,loss,1.0231702327728271
2,35,loss,1.2479281425476074
2,36,loss,1.7874507904052734
2,37,loss,1.2936596870422363
2,38,loss,1.2220916748046875
2,39,loss,1.5107654333114624
2,40,loss,1.7859257459640503
2,41,loss,1.419293999671936
2,42,loss,1.140902042388916
2,43,loss,1.7412701845169067
2,44,loss,1.4355639219284058
2,45,loss,1.7943742275238037
2,46,loss,1.711134910583496
2,47,loss,1.3253496885299683
2,48,loss,0.9722059369087219
